x,y
0.442,0.083
0.885,0.165
1.327,0.247
1.769,0.329
2.21,0.411
2.651,0.493
3.092,0.575
3.533,0.657
3.973,0.738
4.414,0.82
4.853,0.902
5.293,0.984
5.732,1.065
6.172,1.147
6.609,1.228
7.045,1.31
7.479,1.393
7.911,1.475
8.341,1.558
8.77,1.64
9.198,1.723
9.623,1.806
10.047,1.89
10.47,1.973
10.891,2.057
11.31,2.14
11.727,2.224
12.144,2.308
12.558,2.392
12.971,2.477
13.382,2.561
13.792,2.646
14.2,2.73
14.607,2.815
15.012,2.9
15.416,2.984
15.819,3.069
16.219,3.154
16.619,3.239
17.016,3.325
17.413,3.41
17.808,3.495
18.201,3.58
18.593,3.666
18.984,3.751
19.373,3.836
19.761,3.922
20.148,4.007
20.533,4.093
20.917,4.178
21.299,4.264
21.68,4.349
22.06,4.435
22.438,4.52
22.815,4.605
23.19,4.691
23.565,4.776
23.938,4.862
24.309,4.947
24.68,5.032
25.049,5.118
25.417,5.203
25.783,5.288
26.149,5.373
26.513,5.458
26.876,5.543
27.237,5.628
27.597,5.713
27.957,5.798
28.314,5.883
28.671,5.968
29.027,6.052
29.381,6.137
29.734,6.221
30.086,6.306
30.436,6.39
30.786,6.474
31.134,6.558
31.482,6.642
31.828,6.726
32.173,6.81
32.516,6.893
32.859,6.977
33.201,7.06
33.541,7.144
33.88,7.227
34.219,7.31
34.556,7.393
34.892,7.476
35.227,7.558
35.561,7.641
35.893,7.723
36.225,7.805
36.556,7.887
36.885,7.969
37.214,8.051
37.541,8.132
37.868,8.214
38.193,8.295
38.518,8.376
38.841,8.457
39.164,8.538
39.485,8.618
39.805,8.699
40.125,8.779
40.443,8.859
40.761,8.939
41.077,9.019
41.393,9.098
41.707,9.177
42.021,9.256
42.333,9.335
42.645,9.414
42.956,9.493
43.265,9.571
43.574,9.649
43.882,9.727
44.189,9.805
44.495,9.882
44.8,9.959
45.104,10.037
45.408,10.113
45.71,10.19
46.012,10.267
46.312,10.343
46.612,10.419
46.911,10.494
47.209,10.57
47.506,10.645
47.802,10.72
48.098,10.795
48.392,10.87
48.686,10.944
48.979,11.018
49.271,11.092
49.562,11.166
49.852,11.239
50.142,11.312
50.43,11.385
50.718,11.458
51.005,11.531
51.291,11.603
51.577,11.675
51.861,11.746
52.145,11.818
52.428,11.889
52.711,11.96
52.992,12.031
53.273,12.101
53.553,12.171
53.832,12.241
54.11,12.311
54.388,12.38
54.664,12.449
54.94,12.518
55.216,12.586
55.49,12.655
55.764,12.723
56.037,12.79
56.31,12.858
56.581,12.925
56.852,12.992
57.122,13.058
57.392,13.125
57.66,13.191
57.928,13.257
58.196,13.322
58.462,13.387
58.728,13.452
58.993,13.517
59.258,13.581
59.522,13.645
59.785,13.709
60.047,13.772
60.309,13.836
60.57,13.898
60.83,13.961
61.09,14.023
61.349,14.085
61.608,14.147
61.865,14.208
62.122,14.269
62.379,14.33
62.635,14.391
62.89,14.451
63.144,14.511
63.398,14.57
63.651,14.63
63.904,14.689
64.156,14.747
64.407,14.806
64.658,14.864
64.908,14.922
65.157,14.979
65.406,15.036
65.654,15.093
65.902,15.149
66.149,15.206
66.395,15.261
66.641,15.317
66.886,15.372
67.131,15.427
67.375,15.482
67.618,15.536
67.861,15.59
68.104,15.644
68.345,15.697
68.586,15.75
68.827,15.803
69.067,15.855
69.306,15.907
69.545,15.959
69.783,16.01
70.021,16.061
70.258,16.112
70.495,16.162
70.731,16.212
70.967,16.262
71.202,16.312
